plate,row,col,well,Ab,gene
3,E,11,E11,HPA055230,ITPK1
3,F,11,F11,HPA055256,FKBP9
3,G,11,G11,HPA055323,NDUFA4;NDUFA4L2
3,H,11,H11,HPA055371,MAFF
3,A,12,A12,HPA055429,CDK5RAP1
3,B,12,B12,HPA055765,MRPS5
3,C,12,C12,HPA056070,HADHA
3,D,12,D12,HPA056220,DNAAF3
3,E,12,E12,HPA056792,ARGLU1
3,F,12,F12,HPA057347,ATP5PB
3,G,12,G12,HPA057526,DNA2
3,H,12,H12,ctrl,ctrl
4,A,1,A01,HPA057595,C12orf65
4,B,1,B01,HPA057768,COA5
4,C,1,C01,HPA057849,PCMTD2
4,D,1,D01,HPA058232,MTPAP
4,E,1,E01,HPA058631,GTPBP8
4,F,1,F01,HPA058765,PC
4,G,1,G01,HPA059109,HINT2
4,H,1,H01,HPA059124,COX7A2L
4,A,2,A02,HPA059151,FN3K
4,B,2,B02,HPA059282,ALDH1L2
4,C,2,C02,HPA059529,NDUFA10
4,D,2,D02,HPA060060,PTPMT1
4,E,2,E02,HPA060316,SLC25A14
4,F,2,F02,HPA060492,TMEM132A
4,G,2,G02,HPA060548,D2HGDH
4,H,2,H02,HPA060948,PGM2L1
4,A,3,A03,HPA061018,PLEKHO1
4,B,3,B03,HPA061369,GLUD2;GLUD1
4,C,3,C03,HPA061425,OXCT1
4,D,3,D03,HPA061517,ACSS3
4,E,3,E03,HPA061528,SUCLA2
4,F,3,F03,HPA062087,FDX1
4,G,3,G03,HPA062766,DLAT
4,H,3,H03,HPA062854,TMEM11
4,A,4,A04,HPA062971,IDH3A
4,B,4,B04,HPA063324,AK3
4,C,4,C04,HPA063409,PDF
4,D,4,D04,HPA063551,PRDX3
4,E,4,E04,HPA063608,PHYKPL
4,F,4,F04,HPA063735,PMPCA
4,G,4,G04,HPA063737,NDUFB1
4,H,4,H04,HPA064198,HKDC1
4,A,5,A05,HPA064582,SDHA
4,B,5,B05,HPA064605,NDUFS1
4,C,5,C05,HPA064742,OAT
4,D,5,D05,HPA064958,STARD7
4,E,5,E05,HPA065785,UGT8
4,F,5,F05,HPA066081,ABHD10
4,G,5,G05,HPA066099,HADHB
4,H,5,H05,HPA066130,LRRC28
4,A,6,A06,HPA066313,GPR87
4,B,6,B06,HPA066564,NNT
4,C,6,C06,HPA067114,THAP3
4,D,6,D06,HPA067191,FASTKD2
4,E,6,E06,HPA067267,ATP5MF
4,F,6,F06,HPA067567,EFNA2
4,G,6,G06,HPA067652,PSMG4
4,H,6,H06,HPA067818,CSPG5
4,A,7,A07,HPA068400,MT-CYB
4,B,7,B07,HPA069329,PLK2
4,C,7,C07,HPA069369,GTF3C4
4,D,7,D07,HPA069871,GFM2
4,E,7,E07,HPA069947,AFF1
4,F,7,F07,HPA070350,PRR19
4,G,7,G07,HPA071224,PAPSS2
4,H,7,H07,HPA071264,DPY19L2
4,A,8,A08,HPA071751,MRPS27
4,B,8,B08,HPA071795,SELENOO
4,C,8,C08,HPA072065,DOP1B
4,D,8,D08,HPA072209,AC024592.3;NDUFA11
4,E,8,E08,HPA072304,TSPO
4,F,8,F08,HPA072469,RNF144B
4,G,8,G08,HPA072492,PDK3
4,H,8,H08,HPA072588,NME4
4,A,9,A09,HPA073212,NDUFA9;AC005833.1
4,B,9,B09,HPA074014,ZNF625
4,C,9,C09,HPA074097,YARS2
4,D,9,D09,HPA074563,SDHAF1
4,E,9,E09,HPA074625,MFF
4,F,9,F09,HPA075001,HS2ST1
4,G,9,G09,HPA075051,NDUFV1
4,H,9,H09,HPA075648,MT-ND4L
4,A,10,A10,HPA075930,CTPS2
4,B,10,B10,HPA076238,HMGN5
4,C,10,C10,HPA076520,SLC27A1
4,D,10,D10,HPA076984,ZNF608
4,E,10,E10,HPA076987,MRPL58
4,F,10,F10,HPA077080,ALDH1B1
4,G,10,G10,HPA077224,GPAA1
4,H,10,H10,HPA077896,NDUFV2
4,A,11,A11,HPA078331,MYCBP;AL139260.3
4,B,11,B11,HPA078535,NUDT9
4,C,11,C11,HPA000268,ARMCX1
4,D,11,D11,HPA008455,MCL1
4,E,11,E11,HPA014147,CYB5R1
4,F,11,F11,HPA015736,CPOX
4,G,11,G11,HPA018923,ETFB
4,H,11,H11,HPA018990,ETFA
4,A,12,A12,HPA018993,ETFA
4,B,12,B12,HPA019146,UQCRC2
4,C,12,C12,HPA020595,ACADVL
4,D,12,D12,HPA020961,HINT2
4,E,12,E12,HPA021037,ALDH1B1
4,F,12,F12,HPA021626,TACO1
4,G,12,G12,HPA021648,PMPCA
4,H,12,H12,ctrl,ctrl
5,A,1,A01,HPA021995,ECHS1
5,B,1,B01,HPA024594,IARS2
5,C,1,C01,HPA029029,ETHE1
5,D,1,D01,HPA030427,NDUFV3
5,E,1,E01,HPA034603,PNPT1
5,F,1,F01,HPA039016,DYNC2H1
5,G,1,G01,HPA039536,SUCLA2
5,H,1,H01,HPA040786,DLAT
5,A,2,A02,HPA040979,OCIAD2
5,B,2,B02,HPA041367,NGRN
5,C,2,C02,HPA041630,FDX1
5,D,2,D02,HPA041746,ECI1
5,E,2,E02,HPA043633,EARS2
5,F,2,F02,HPA043705,ACOT1;ACOT2
5,G,2,G02,HPA043932,PTPMT1
5,H,2,H02,HPA044629,ATP5MGL;AP001267.5;ATP5MG
5,A,3,A03,HPA047956,ACSS3
5,B,3,B03,HPA059299,MAOA
5,C,3,C03,HPA061546,MCCC2
5,D,3,D03,HPA064230,HKDC1
5,E,3,E03,HPA070412,ATP5MF
5,F,3,F03,HPA071910,GADD45GIP1
5,G,3,G03,HPA074168,PMPCB
5,H,3,H03,HPA076267,NGRN
5,A,4,A04,HPA064582,SDHA
5,B,4,B04,HPA061369,GLUD1
5,C,4,C04,HPA014295,COX6C
5,D,4,D04,HPA001247,CYC1
5,E,4,E04,HPA004428,ACAT1
5,F,4,F04,HPA019869,GSTP1
5,G,4,G04,HPA030676,MIPEP
5,H,4,H04,HPA026485,DBT
5,A,5,A05,HPA057768,COA5
5,B,5,B05,HPA075930,CTPS2
5,C,5,C05,HPA051514,GPT2
5,D,5,D05,HPA031862,NLN
5,E,5,E05,HPA063409,PDF
5,F,5,F05,HPA031671,PPA2
5,G,5,G05,HPA031363,PPCS
5,H,5,H05,ctrl,ctrl
